restaurant_name,restaurant_rating,restaurant_review_count,restaurant_price,restaurant_cuisine,restaurant_promotion,restaurant_booked_times,restaurant_remaining_timeslots,restaurant_special_offers
Vellore Restaurant at the Bath Spa Hotel,3.600000000000001,(44),$$$$,• British • Bath,Promoted,Booked 2 times today,Booked 2 times today,British Icons Set Menu
Dosa Park Cirencester,4.5,(99),$$$$,• Indian • Cirencester,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Catherine Wheel,4.6,(478),$$$$,• British • Marshfield,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Wahaca Cardiff,4.5,(35),$$$$,• Mexican • Cardiff,Promoted,Booked 51 times today,Booked 51 times today,British Icons Set Menu
The Greyhound Inn and Hotel,4.5,(58),$$$$,• Gastro Pub • Usk,Promoted,Booked 7 times today,Booked 7 times today,British Icons Set Menu
Lola & Co Tapas,4.7,(537),$$$$,• Tapas / Small Plates • Tetbury,Promoted,Booked 7 times today,Booked 7 times today,British Icons Set Menu
Masons Arms,4.7,(156),$$$$,• Gastro Pub • Fairford,Promoted,Booked 4 times today You're in luck! We still have 4 timeslots left Top experience,Booked 4 times today You're in luck! We still have 4 timeslots left Top experience,EVENING SET MENU
Afternoon Tea at Bath Spa Hotel,3.600000000000001,(5),$$$$,• British • Bath,Promoted,You're in luck! We still have 1 timeslot left,You're in luck! We still have 1 timeslot left,British Icons Set Menu
Mantra,4.0,(1),$$$$,• Indian • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
COMPTOIR+CUISINE,4.6,(23),$$$$,• Tapas / Small Plates • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Bear Inn,4.4,(243),$$$$,• Gastro Pub • Bath,Promoted,Booked 3 times today Top experience,Booked 3 times today Top experience,Prix-Fixe Menu
"The Ivy Montpellier Brasserie, Cheltenham",4.6,(11308),$$$$,• Contemporary British • Cheltenham,Promoted,Booked 77 times today Top experience,Booked 77 times today Top experience,British Icons Set Menu
The Claremont,4.2,(65),$$$$,• Pub • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Restaurant @ Centurion,3.8,(133),$$$$,• British • Radstock,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Giraffe - Bath,4.3,(353),$$$$,• International • Bath,Promoted,Booked 2 times today,Booked 2 times today,British Icons Set Menu
The Ship Inn,4.2,(67),$$$$,• Grill • Newport,Promoted,Booked 5 times today,Booked 5 times today,British Icons Set Menu
The Ox Barn,4.7,(973),$$$$,• British • Lechlade,Promoted,Booked 11 times today You're in luck! We still have 4 timeslots left,Booked 11 times today You're in luck! We still have 4 timeslots left,British Icons Set Menu
The Nook On Five,4.4,(592),$$$$,• British • Cheltenham,Promoted,Booked 19 times today,Booked 19 times today,British Icons Set Menu
The Stag at Stow,4.5,(349),$$$$,• British • Stow-on-the-Wold,Promoted,Booked 9 times today,Booked 9 times today,British Icons Set Menu
"Amore Italian, Corsham",4.7,(354),$$$$,• Italian • Corsham,Promoted,Booked 5 times today,Booked 5 times today,British Icons Set Menu
The Miner's Rest,4.9,(8),$$$$,• Modern European • Radstock,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Duke of Oxford,4.3,(198),$$$$,• British • Weston-Super-Mare,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Gaucho Cardiff,4.7,(912),$$$$,• Steakhouse • Cardiff,Promoted,Booked 47 times today,Booked 47 times today,British Icons Set Menu
Pho Cardiff,4.5,(524),$$$$,• Vietnamese • Cardiff,Promoted,Booked 18 times today,Booked 18 times today,British Icons Set Menu
The Lion at Pennard,4.6,(400),$$$$,• British • Wells,Promoted,Booked 4 times today,Booked 4 times today,British Icons Set Menu
The Angel at Burford,4.7,(1403),$$$$,• British • Burford,Promoted,Booked 8 times today You're in luck! We still have 4 timeslots left,Booked 8 times today You're in luck! We still have 4 timeslots left,British Icons Set Menu
Victoria's,4.6,(141),$$$$,• Contemporary British • Cheltenham,Promoted,Booked 5 times today,Booked 5 times today,British Icons Set Menu
GRAZE Restaurant & Bar,3.600000000000001,(7),$$$$,• British • Cardiff,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Côte Brasserie - Cardiff Bay,4.5,(87),$$$$,• French • Cardiff,Promoted,Booked 21 times today,Booked 21 times today,British Icons Set Menu
Brasserie Blanc Cheltenham,4.3,(90),$$$$,• French • Cheltenham,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Rattlebone Inn,4.6,(40),$$$$,• British • Sherston,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
"Bill’s Restaurant, Cafe & Bar Clark’s Village, Street",4.3,(16),$$$$,• Bar / Lounge / Bottle Service • Street,Promoted,Booked 18 times today Top experience,Booked 18 times today Top experience,Set Menu for Celebrations
Ellenborough Park,4.4,(7),$$$$,• Contemporary British • Cheltenham,Promoted,Booked 4 times today,Booked 4 times today,British Icons Set Menu
